Epochs,Optimizer,Loss Function,Learning Rate,Avg Train Loss,Avg Test Loss
31000,Adam,MSE,0.00125,2.453813155055046,20.572757884979247
31000,Adam,MSE,0.00175,7.512751676559448,31.38195933532715
31000,Adam,MSE,0.00225,1.9874911526441574,16.343774908065797
31000,Adam,MSE,0.00275,3.1071398301422595,18.896817165374756
31000,Adam,MSE,0.00325,1.3331781906187534,16.75946424484253
31000,Adam,MSE,0.00375,6.3663988180160525,19.568488899230957
31000,Adam,MSE,0.00425,9.98921171092987,24.718941646575928
31000,Adam,MSE,0.00475,7.723429381370544,21.491435459136962
31000,Adam,MSE,0.00525,8.15410643196106,29.37335263824463
31000,Adam,MSE,0.00575,9.270278122901917,26.52943350982666
