Timestamp,dt,Voltage1,Voltage2,Voltage3,Voltage4,Voltage5,Voltage6,Voltage7,Voltage8
2024-12-05 16:44:25,0.1,3.24575,3.719875,3.199375,3.321875,3.499375,3.63,3.321375,3.2765
2024-12-05 16:44:25,0.1,3.237625,3.720125,3.2062500000000003,3.3175,3.48575,3.625375,3.330625,3.275
2024-12-05 16:44:25,0.1,3.23475,3.719875,3.202125,3.31825,3.487,3.62175,3.329125,3.27575
2024-12-05 16:44:25,0.1,3.196125,3.50825,3.1495,3.084625,3.468375,3.036875,3.299,3.1065
2024-12-05 16:44:25,0.1,3.134375,3.160625,3.1005000000000003,2.714125,3.3795,2.576125,3.210875,2.979
2024-12-05 16:44:26,0.1,3.11675,2.9402500000000003,3.062125,2.61075,3.367625,2.5625,3.190375,3.0055
2024-12-05 16:44:26,0.1,3.1135,2.907875,3.060625,2.591,3.36375,2.534875,3.18675,3.005625
2024-12-05 16:44:26,0.1,3.110875,2.911,3.06425,2.582125,3.356125,2.51725,3.180625,2.9943750000000002
2024-12-05 16:44:26,0.1,3.107125,2.89825,3.057875,2.58875,3.3495,2.5255,3.17925,3.0035000000000003
2024-12-05 16:44:26,0.1,3.1085000000000003,2.89075,3.054875,2.583375,3.35225,2.512125,3.1765,2.9995000000000003
2024-12-05 16:44:26,0.1,3.108,2.8777500000000003,3.06,2.57775,3.35425,2.5455,3.18425,3.013
2024-12-05 16:44:27,0.1,3.107875,2.910875,3.06275,2.6045000000000003,3.35,2.56775,3.184125,3.021375
2024-12-05 16:44:27,0.1,3.1277500000000003,2.966875,3.06475,2.700625,3.415375,2.886875,3.222125,3.14025
2024-12-05 16:44:27,0.1,3.23975,3.732125,3.2131250000000002,3.383375,3.487,3.62675,3.342625,3.280625
2024-12-05 16:44:27,0.1,3.24775,3.722375,3.20575,3.353125,3.494,3.6405000000000003,3.3152500000000003,3.29075
